SEEDED,DOSE,WELL_1,WELL_2,WELL_3,WELL_4,WELL_5,WELL_6
4000,8,9,9,,5,6,9
4000,8,4,7,8,8,6,9
4000,8,8,8,,7,8,
2000,4,61,62,60,62,60,63
2000,4,60,63,60,60,62,63
1000,2,89,90,93,90,93,92
1000,2,91,89,88,93,93,90
1000,2,92,93,89,90,93,92
500,1,76,79,79,82,98,79
500,1,78,82,80,89,77,77
300,0.5,64,60,48,69,51,51
250,0,65,70,65,70,65,70
250,0,65,70,65,70,65,70
250,0,65,70,65,70,65,70
